Time,Attitude Quaternion 1
2023-10-20 03:00:00,0.41
2023-10-21 03:00:00,0.4
2023-10-22 03:00:00,0.78
2023-10-23 03:00:00,0.011
2023-10-24 03:00:00,0.42
2023-10-25 03:00:00,0.0052
2023-10-26 03:00:00,0.82
2023-10-27 03:00:00,0.0
2023-10-28 03:00:00,0.42
2023-10-29 03:00:00,0.0
2023-10-30 03:00:00,0.0
2023-10-31 03:00:00,0.0
2023-11-01 03:00:00,0.032
2023-11-02 03:00:00,0.0
2023-11-03 03:00:00,0.0
2023-11-04 03:00:00,0.42
2023-11-05 03:00:00,0.0
2023-11-06 03:00:00,0.0
2023-11-07 03:00:00,0.42
2023-11-08 03:00:00,0.42
2023-11-09 03:00:00,0.0
2023-11-10 03:00:00,0.0
2023-11-11 03:00:00,0.41
2023-11-12 03:00:00,0.0
2023-11-13 03:00:00,0.0
2023-11-14 03:00:00,0.0
2023-11-15 03:00:00,0.0
2023-11-16 03:00:00,0.0
2023-11-17 03:00:00,0.0
2023-11-18 03:00:00,0.0
2023-11-19 03:00:00,0.0
2023-11-20 03:00:00,0.0
2023-11-21 03:00:00,0.4
2023-11-22 03:00:00,0.38
2023-11-23 03:00:00,0.0
2023-11-24 03:00:00,0.0
2023-11-25 03:00:00,0.0
2023-11-26 03:00:00,0.39
2023-11-27 03:00:00,0.0
2023-11-28 03:00:00,0.0
2023-11-29 03:00:00,0.0
2023-11-30 03:00:00,0.0
2023-12-01 03:00:00,0.0
2023-12-02 03:00:00,0.0
2023-12-03 03:00:00,0.0
2023-12-04 03:00:00,0.0
2023-12-05 03:00:00,0.36
2023-12-06 03:00:00,0.0
2023-12-07 03:00:00,0.36
2023-12-08 03:00:00,0.32
2023-12-09 03:00:00,0.34
2023-12-10 03:00:00,-1.0
2023-12-11 03:00:00,0.34
2023-12-12 03:00:00,-1.0
2023-12-13 03:00:00,0.0
2023-12-14 03:00:00,-1.0
2023-12-15 03:00:00,0.32
2023-12-16 03:00:00,0.0
2023-12-17 03:00:00,-1.0
2023-12-18 03:00:00,0.31
2023-12-19 03:00:00,0.16
2023-12-20 03:00:00,0.0
2023-12-21 03:00:00,0.29
2023-12-22 03:00:00,-1.0
2023-12-23 03:00:00,-1.0
2023-12-24 03:00:00,0.057
2023-12-25 03:00:00,0.3
2023-12-26 03:00:00,-1.0
2023-12-27 03:00:00,-1.0
2023-12-28 03:00:00,-1.0
2023-12-29 03:00:00,0.7
2023-12-30 03:00:00,0.18
2023-12-31 03:00:00,-1.0
2024-01-01 03:00:00,0.26
2024-01-02 03:00:00,0.26
2024-01-03 03:00:00,-1.0
2024-01-04 03:00:00,0.26
2024-01-05 03:00:00,-1.0
2024-01-06 03:00:00,-1.0
2024-01-07 03:00:00,-1.0
2024-01-08 03:00:00,0.23
2024-01-09 03:00:00,-1.0
2024-01-10 03:00:00,-1.0
2024-01-11 03:00:00,0.69
2024-01-12 03:00:00,0.19
2024-01-13 03:00:00,-1.0
2024-01-14 03:00:00,0.21
2024-01-15 03:00:00,-1.0
2024-01-16 03:00:00,-1.0
2024-01-17 03:00:00,0.19
2024-01-18 03:00:00,-1.0
2024-01-19 03:00:00,0.17
2024-01-20 03:00:00,0.18
2024-01-21 03:00:00,0.14
2024-01-22 03:00:00,0.15
2024-01-23 03:00:00,0.15
2024-01-24 03:00:00,0.15
2024-01-25 03:00:00,0.0
2024-01-26 03:00:00,0.51
2024-01-27 03:00:00,0.098
2024-01-28 03:00:00,-1.0
2024-01-29 03:00:00,-1.0
2024-01-30 03:00:00,-1.0
2024-01-31 03:00:00,0.12
2024-02-01 03:00:00,-1.0
2024-02-02 03:00:00,0.085
2024-02-03 03:00:00,0.099
2024-02-04 03:00:00,-1.0
2024-02-05 03:00:00,-1.0
2024-02-06 03:00:00,0.086
2024-02-07 03:00:00,-1.0
2024-02-08 03:00:00,0.059
2024-02-09 03:00:00,0.05
2024-02-10 03:00:00,-1.0
