Time,"tlm_mb_solartemp_0_temp_0, where 0 is 27, 1 is °C, 2 is 26, 3 is 28, 4 is 249, 5 is 250, 6 is 252, 7 is 6.6, 8 is 251, 9 is 253, 10 is 254, 11 is 10, 12 is 11, 13 is 2.1, 14 is 255, 15 is 5.8, 16 is 4.8, 17 is 5.9, 18 is 6.0, 19 is 6.3, 20 is 7.7, 21 is 7.9, 22 is 8.2, 23 is 9.1, 24 is 3.4, 25 is 5.4, 26 is 6.2, 27 is 7.0, 28 is 5.0, 29 is 246, 30 is 248, 31 is 247, 32 is 1.00, 33 is 9.0, 34 is 9.3, 35 is 14, 36 is 9.9, 37 is 7.6, 38 is 8.6, 39 is 6.1, 40 is 7.2, 41 is 3.5, 42 is 2.6, 43 is 6.7, 44 is 6.9, 45 is 7.3, 46 is 7.5, 47 is 5.1, 48 is 6.8, 49 is 7.4, 50 is 8.0, 51 is 5.6, 52 is 12, 53 is 3.7, 54 is 4.6, 55 is 5.2, 56 is 7.8, 57 is 8.1, 58 is 8.3, 59 is 8.5, 60 is 8.4, 61 is 8.9, 62 is 8.7, 63 is 8.8, 64 is 9.4, 65 is 9.2, 66 is 9.6, 67 is 9.7, 68 is 9.5, 69 is 6.5, 70 is 7.1, 71 is 9.8, 72 is 15, 73 is 4.5, 74 is 5.3, 75 is 6.4, 76 is 16, 77 is 5.7, 78 is 4.7, 79 is 10.0, 80 is 0.31, 81 is 2.2, 82 is 1.4, 83 is 0.25, 84 is 0.94, 85 is 0.50, 86 is 2.3, 87 is 1.6, 88 is 2.7, 89 is 2.0, 90 is 1.2, 91 is 0.062, 92 is 17, 93 is 1.1, 94 is 13, 95 is 5.5, 96 is 1.7, 97 is 3.0, 98 is 1.8, 99 is 0.75, 100 is 256, 101 is 0.56, 102 is 0.44, 103 is 1.5, 104 is 0.19, 105 is 2.9, 106 is 4.4, 107 is 3.2, 108 is 0.87, 109 is 3.8, 110 is 2.4, 111 is 3.1, 112 is 3.9, 113 is 4.3, 114 is 4.9, 115 is 2.8, 116 is 4.1, 117 is 1.3, 118 is 3.3, 119 is 2.5, 120 is 4.2, 121 is 0.37, 122 is 0, 123 is 18, 124 is 21, 125 is 22, 126 is 23, 127 is 19, 128 is 20, 129 is 3.6, 130 is 0.81, 131 is 0.62, 132 is 0.12, 133 is 4.0, 134 is 1.9, 135 is 0.69, 136 is 245, 137 is 24, 138 is 25"
2023-06-30 03:00:00,21 1
2023-06-30 03:00:00,30 1
2023-06-30 03:00:00,41 1
2023-06-30 03:00:00,42 1
2023-06-30 03:00:00,24 1
2023-06-30 03:00:00,39 1
2023-06-30 03:00:00,43 1
2023-06-30 03:00:00,27 1
2023-06-30 03:00:00,44 1
2023-06-30 03:00:00,40 1
2023-06-30 03:00:00,45 1
2023-06-30 03:00:00,37 1
2023-06-30 03:00:00,46 1
2023-06-30 03:00:00,38 1
2023-06-30 03:00:00,47 1
2023-06-30 03:00:00,7 1
2023-06-30 03:00:00,48 1
2023-06-30 03:00:00,49 1
2023-06-30 03:00:00,20 1
2023-06-30 03:00:00,50 1
2023-06-30 03:00:00,51 1
2023-06-30 03:00:00,43 1
2023-06-30 03:00:00,6 1
2023-06-30 03:00:00,9 1
2023-06-30 03:00:00,10 1
2023-06-30 03:00:00,10 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,10 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,52 1
2023-07-01 03:00:00,30 1
2023-07-01 03:00:00,30 1
2023-07-01 03:00:00,22 1
2023-07-01 03:00:00,53 1
2023-07-01 03:00:00,54 1
2023-07-01 03:00:00,55 1
2023-07-01 03:00:00,26 1
2023-07-01 03:00:00,56 1
2023-07-01 03:00:00,21 1
2023-07-01 03:00:00,57 1
2023-07-01 03:00:00,49 1
2023-07-01 03:00:00,21 1
2023-07-01 03:00:00,20 1
2023-07-01 03:00:00,58 1
2023-07-01 03:00:00,59 1
2023-07-01 03:00:00,50 1
2023-07-01 03:00:00,60 1
2023-07-01 03:00:00,61 1
2023-07-01 03:00:00,62 1
2023-07-01 03:00:00,60 1
2023-07-01 03:00:00,63 1
2023-07-01 03:00:00,33 1
2023-07-01 03:00:00,64 1
2023-07-01 03:00:00,65 1
2023-07-01 03:00:00,61 1
2023-07-01 03:00:00,33 1
2023-07-01 03:00:00,66 1
2023-07-01 03:00:00,67 1
2023-07-01 03:00:00,65 1
2023-07-01 03:00:00,34 1
2023-07-01 03:00:00,68 1
2023-07-01 03:00:00,51 1
2023-07-01 03:00:00,43 1
2023-07-01 03:00:00,17 1
2023-07-01 03:00:00,39 1
2023-07-01 03:00:00,69 1
2023-07-01 03:00:00,43 1
2023-07-01 03:00:00,48 1
2023-07-01 03:00:00,27 1
2023-07-01 03:00:00,70 1
2023-07-01 03:00:00,40 1
2023-07-01 03:00:00,22 1
2023-07-01 03:00:00,38 1
2023-07-01 03:00:00,23 1
2023-07-01 03:00:00,67 1
2023-07-01 03:00:00,71 1
2023-07-01 03:00:00,11 1
2023-07-01 03:00:00,11 1
2023-07-01 03:00:00,11 1
2023-07-01 03:00:00,35 1
2023-07-01 03:00:00,72 1
2023-07-01 03:00:00,7 1
2023-07-01 03:00:00,9 1
2023-07-01 03:00:00,10 1
2023-07-01 03:00:00,14 1
2023-07-01 03:00:00,10 1
2023-07-01 03:00:00,8 1
2023-07-01 03:00:00,6 1
2023-07-01 03:00:00,9 1
2023-07-01 03:00:00,10 1
2023-07-02 03:00:00,29 1
2023-07-02 03:00:00,31 1
2023-07-02 03:00:00,19 1
2023-07-02 03:00:00,70 1
2023-07-02 03:00:00,70 1
2023-07-02 03:00:00,20 1
2023-07-02 03:00:00,37 1
2023-07-02 03:00:00,60 1
2023-07-02 03:00:00,62 1
2023-07-02 03:00:00,73 1
2023-07-02 03:00:00,74 1
2023-07-02 03:00:00,51 1
2023-07-02 03:00:00,69 1
2023-07-02 03:00:00,20 1
2023-07-02 03:00:00,60 1
2023-07-02 03:00:00,63 1
2023-07-02 03:00:00,16 1
2023-07-02 03:00:00,35 1
2023-07-02 03:00:00,72 1
2023-07-02 03:00:00,72 1
2023-07-02 03:00:00,33 1
2023-07-02 03:00:00,10 1
2023-07-02 03:00:00,36 1
2023-07-02 03:00:00,12 1
2023-07-02 03:00:00,6 1
2023-07-02 03:00:00,6 1
2023-07-02 03:00:00,10 1
2023-07-02 03:00:00,10 1
2023-07-02 03:00:00,14 1
2023-07-02 03:00:00,5 1
2023-07-02 03:00:00,8 1
2023-07-02 03:00:00,9 1
2023-07-02 03:00:00,6 1
2023-07-02 03:00:00,5 1
2023-07-02 03:00:00,72 1
2023-07-02 03:00:00,72 1
2023-07-03 03:00:00,14 1
2023-07-03 03:00:00,47 1
2023-07-03 03:00:00,15 1
2023-07-03 03:00:00,43 1
2023-07-03 03:00:00,37 1
2023-07-03 03:00:00,58 1
2023-07-03 03:00:00,60 1
2023-07-03 03:00:00,18 1
2023-07-03 03:00:00,7 1
2023-07-03 03:00:00,40 1
2023-07-03 03:00:00,49 1
2023-07-03 03:00:00,59 1
2023-07-03 03:00:00,36 1
2023-07-03 03:00:00,57 1
2023-07-03 03:00:00,34 1
2023-07-03 03:00:00,67 1
2023-07-03 03:00:00,36 1
2023-07-03 03:00:00,10 1
2023-07-03 03:00:00,6 1
2023-07-03 03:00:00,10 1
2023-07-03 03:00:00,14 1
2023-07-03 03:00:00,5 1
2023-07-03 03:00:00,8 1
2023-07-04 03:00:00,30 1
2023-07-04 03:00:00,4 1
2023-07-04 03:00:00,5 1
2023-07-04 03:00:00,27 1
2023-07-04 03:00:00,21 1
2023-07-04 03:00:00,4 1
2023-07-04 03:00:00,15 1
2023-07-04 03:00:00,45 1
2023-07-04 03:00:00,46 1
2023-07-04 03:00:00,43 1
2023-07-04 03:00:00,49 1
2023-07-04 03:00:00,50 1
2023-07-04 03:00:00,75 1
2023-07-04 03:00:00,56 1
2023-07-04 03:00:00,4 1
2023-07-04 03:00:00,33 1
2023-07-04 03:00:00,11 1
2023-07-04 03:00:00,10 1
2023-07-04 03:00:00,9 1
2023-07-04 03:00:00,10 1
2023-07-04 03:00:00,8 1
2023-07-05 03:00:00,12 1
2023-07-05 03:00:00,76 1
2023-07-05 03:00:00,4 1
2023-07-05 03:00:00,77 1
2023-07-05 03:00:00,48 1
2023-07-05 03:00:00,37 1
2023-07-05 03:00:00,50 1
2023-07-05 03:00:00,22 1
2023-07-05 03:00:00,38 1
2023-07-05 03:00:00,17 1
2023-07-05 03:00:00,39 1
2023-07-05 03:00:00,70 1
2023-07-05 03:00:00,49 1
2023-07-05 03:00:00,59 1
2023-07-05 03:00:00,59 1
2023-07-05 03:00:00,58 1
2023-07-05 03:00:00,62 1
2023-07-05 03:00:00,61 1
2023-07-05 03:00:00,27 1
2023-07-05 03:00:00,33 1
2023-07-05 03:00:00,9 1
2023-07-05 03:00:00,10 1
2023-07-05 03:00:00,10 1
2023-07-05 03:00:00,14 1
2023-07-05 03:00:00,10 1
2023-07-05 03:00:00,5 1
2023-07-05 03:00:00,8 1
2023-07-05 03:00:00,6 1
2023-07-05 03:00:00,9 1
2023-07-05 03:00:00,9 1
2023-07-05 03:00:00,14 1
2023-07-05 03:00:00,8 1
2023-07-06 03:00:00,70 1
2023-07-06 03:00:00,22 1
2023-07-06 03:00:00,61 1
2023-07-06 03:00:00,11 1
2023-07-06 03:00:00,12 1
2023-07-06 03:00:00,35 1
2023-07-06 03:00:00,30 1
2023-07-06 03:00:00,75 1
2023-07-06 03:00:00,43 1
2023-07-06 03:00:00,49 1
2023-07-06 03:00:00,60 1
2023-07-06 03:00:00,78 1
2023-07-06 03:00:00,51 1
2023-07-06 03:00:00,44 1
2023-07-06 03:00:00,20 1
2023-07-06 03:00:00,61 1
2023-07-06 03:00:00,7 1
2023-07-06 03:00:00,5 1
2023-07-06 03:00:00,5 1
2023-07-06 03:00:00,6 1
2023-07-06 03:00:00,33 1
2023-07-06 03:00:00,66 1
2023-07-06 03:00:00,8 1
2023-07-06 03:00:00,14 1
2023-07-07 03:00:00,33 1
2023-07-07 03:00:00,33 1
2023-07-07 03:00:00,11 1
2023-07-07 03:00:00,12 1
2023-07-07 03:00:00,72 1
2023-07-07 03:00:00,72 1
2023-07-07 03:00:00,19 1
2023-07-07 03:00:00,27 1
2023-07-07 03:00:00,37 1
2023-07-07 03:00:00,60 1
2023-07-07 03:00:00,63 1
2023-07-07 03:00:00,11 1
2023-07-07 03:00:00,12 1
2023-07-07 03:00:00,70 1
2023-07-07 03:00:00,50 1
2023-07-07 03:00:00,38 1
2023-07-07 03:00:00,79 1
2023-07-07 03:00:00,6 1
2023-07-08 03:00:00,40 1
2023-07-08 03:00:00,50 1
2023-07-08 03:00:00,62 1
2023-07-08 03:00:00,61 1
2023-07-08 03:00:00,68 1
2023-07-08 03:00:00,11 1
2023-07-08 03:00:00,12 1
2023-07-08 03:00:00,4 1
2023-07-08 03:00:00,4 1
2023-07-08 03:00:00,5 1
2023-07-08 03:00:00,33 1
2023-07-08 03:00:00,50 1
2023-07-08 03:00:00,20 1
2023-07-08 03:00:00,62 1
2023-07-08 03:00:00,8 1
2023-07-08 03:00:00,6 1
2023-07-08 03:00:00,9 1
2023-07-09 03:00:00,61 1
2023-07-09 03:00:00,67 1
2023-07-09 03:00:00,12 1
2023-07-09 03:00:00,31 1
2023-07-09 03:00:00,20 1
2023-07-09 03:00:00,22 1
2023-07-09 03:00:00,63 1
2023-07-09 03:00:00,11 1
2023-07-09 03:00:00,12 1
2023-07-09 03:00:00,46 1
2023-07-09 03:00:00,58 1
2023-07-09 03:00:00,61 1
2023-07-09 03:00:00,49 1
2023-07-09 03:00:00,37 1
2023-07-09 03:00:00,22 1
2023-07-09 03:00:00,35 1
2023-07-09 03:00:00,72 1
2023-07-09 03:00:00,72 1
2023-07-09 03:00:00,9 1
2023-07-09 03:00:00,6 1
2023-07-09 03:00:00,6 1
2023-07-09 03:00:00,9 1
2023-07-09 03:00:00,4 1
2023-07-09 03:00:00,5 1
2023-07-09 03:00:00,5 1
2023-07-09 03:00:00,8 1
2023-07-09 03:00:00,11 1
2023-07-09 03:00:00,12 1
2023-07-10 03:00:00,36 1
2023-07-10 03:00:00,11 1
2023-07-10 03:00:00,12 1
2023-07-10 03:00:00,52 1
2023-07-10 03:00:00,52 1
2023-07-10 03:00:00,80 1
2023-07-10 03:00:00,12 1
2023-07-10 03:00:00,45 1
2023-07-10 03:00:00,37 1
2023-07-10 03:00:00,59 1
2023-07-10 03:00:00,33 1
2023-07-10 03:00:00,66 1
2023-07-10 03:00:00,11 1
2023-07-10 03:00:00,62 1
2023-07-10 03:00:00,11 1
2023-07-10 03:00:00,5 1
2023-07-10 03:00:00,6 1
2023-07-10 03:00:00,8 1
2023-07-10 03:00:00,12 1
2023-07-11 03:00:00,50 1
2023-07-11 03:00:00,33 1
2023-07-11 03:00:00,68 1
2023-07-11 03:00:00,72 1
2023-07-11 03:00:00,72 1
2023-07-11 03:00:00,62 1
2023-07-11 03:00:00,66 1
2023-07-11 03:00:00,26 1
2023-07-11 03:00:00,70 1
2023-07-11 03:00:00,50 1
2023-07-11 03:00:00,60 1
2023-07-11 03:00:00,65 1
2023-07-11 03:00:00,57 1
2023-07-11 03:00:00,67 1
2023-07-11 03:00:00,81 1
2023-07-11 03:00:00,82 1
2023-07-11 03:00:00,30 1
2023-07-11 03:00:00,30 1
2023-07-11 03:00:00,30 1
2023-07-11 03:00:00,30 1
2023-07-11 03:00:00,4 1
2023-07-11 03:00:00,72 1
2023-07-11 03:00:00,76 1
2023-07-11 03:00:00,63 1
2023-07-11 03:00:00,34 1
2023-07-11 03:00:00,10 1
2023-07-11 03:00:00,10 1
2023-07-11 03:00:00,6 1
2023-07-11 03:00:00,6 1
2023-07-12 03:00:00,65 1
2023-07-12 03:00:00,11 1
2023-07-12 03:00:00,11 1
2023-07-12 03:00:00,12 1
2023-07-12 03:00:00,68 1
2023-07-12 03:00:00,75 1
2023-07-12 03:00:00,44 1
2023-07-12 03:00:00,40 1
2023-07-12 03:00:00,38 1
2023-07-12 03:00:00,65 1
2023-07-12 03:00:00,67 1
2023-07-12 03:00:00,35 1
2023-07-12 03:00:00,72 1
2023-07-12 03:00:00,72 1
2023-07-12 03:00:00,72 1
2023-07-12 03:00:00,76 1
2023-07-12 03:00:00,10 1
2023-07-12 03:00:00,10 1
2023-07-12 03:00:00,9 1
2023-07-12 03:00:00,9 1
2023-07-12 03:00:00,10 1
2023-07-13 03:00:00,67 1
2023-07-13 03:00:00,36 1
2023-07-13 03:00:00,12 1
2023-07-13 03:00:00,12 1
2023-07-13 03:00:00,72 1
2023-07-13 03:00:00,65 1
2023-07-13 03:00:00,11 1
2023-07-13 03:00:00,17 1
2023-07-13 03:00:00,49 1
2023-07-13 03:00:00,37 1
2023-07-13 03:00:00,59 1
2023-07-13 03:00:00,36 1
2023-07-13 03:00:00,59 1
2023-07-13 03:00:00,6 1
2023-07-13 03:00:00,6 1
2023-07-13 03:00:00,9 1
2023-07-13 03:00:00,10 1
2023-07-13 03:00:00,10 1
2023-07-13 03:00:00,6 1
2023-07-13 03:00:00,52 1
2023-07-13 03:00:00,5 1
2023-07-13 03:00:00,8 1
2023-07-14 03:00:00,72 1
2023-07-14 03:00:00,20 1
2023-07-14 03:00:00,50 1
2023-07-14 03:00:00,33 1
2023-07-14 03:00:00,65 1
2023-07-14 03:00:00,5 1
2023-07-14 03:00:00,61 1
2023-07-14 03:00:00,33 1
2023-07-14 03:00:00,23 1
2023-07-14 03:00:00,13 1
2023-07-14 03:00:00,83 1
2023-07-14 03:00:00,84 1
2023-07-14 03:00:00,85 1
2023-07-14 03:00:00,6 1
2023-07-14 03:00:00,14 1
2023-07-14 03:00:00,5 1
2023-07-15 03:00:00,64 1
2023-07-15 03:00:00,11 1
2023-07-15 03:00:00,12 1
2023-07-15 03:00:00,12 1
2023-07-15 03:00:00,52 1
2023-07-15 03:00:00,35 1
2023-07-15 03:00:00,35 1
2023-07-15 03:00:00,5 1
2023-07-15 03:00:00,8 1
2023-07-15 03:00:00,50 1
2023-07-15 03:00:00,61 1
2023-07-15 03:00:00,70 1
2023-07-15 03:00:00,60 1
2023-07-15 03:00:00,71 1
2023-07-15 03:00:00,86 1
2023-07-15 03:00:00,82 1
2023-07-15 03:00:00,30 1
2023-07-15 03:00:00,4 1
2023-07-15 03:00:00,87 1
2023-07-15 03:00:00,12 1
2023-07-15 03:00:00,36 1
2023-07-15 03:00:00,9 1
2023-07-15 03:00:00,52 1
2023-07-15 03:00:00,9 1
2023-07-16 03:00:00,22 1
2023-07-16 03:00:00,71 1
2023-07-16 03:00:00,12 1
2023-07-16 03:00:00,12 1
2023-07-16 03:00:00,12 1
2023-07-16 03:00:00,52 1
2023-07-16 03:00:00,76 1
2023-07-16 03:00:00,76 1
2023-07-16 03:00:00,35 1
2023-07-16 03:00:00,65 1
2023-07-16 03:00:00,37 1
2023-07-16 03:00:00,63 1
2023-07-16 03:00:00,21 1
2023-07-16 03:00:00,88 1
2023-07-16 03:00:00,89 1
2023-07-16 03:00:00,35 1
2023-07-16 03:00:00,72 1
2023-07-16 03:00:00,72 1
2023-07-16 03:00:00,76 1
2023-07-16 03:00:00,90 1
2023-07-16 03:00:00,67 1
2023-07-16 03:00:00,9 1
2023-07-16 03:00:00,6 1
2023-07-16 03:00:00,9 1
2023-07-16 03:00:00,10 1
2023-07-16 03:00:00,91 1
2023-07-16 03:00:00,52 1
2023-07-16 03:00:00,52 1
2023-07-16 03:00:00,92 1
2023-07-17 03:00:00,76 1
2023-07-17 03:00:00,76 1
2023-07-17 03:00:00,6 1
2023-07-17 03:00:00,6 1
2023-07-17 03:00:00,5 1
2023-07-17 03:00:00,4 1
2023-07-17 03:00:00,7 1
2023-07-17 03:00:00,49 1
2023-07-17 03:00:00,65 1
2023-07-17 03:00:00,7 1
2023-07-17 03:00:00,70 1
2023-07-17 03:00:00,37 1
2023-07-17 03:00:00,60 1
2023-07-17 03:00:00,62 1
2023-07-17 03:00:00,77 1
2023-07-17 03:00:00,20 1
2023-07-17 03:00:00,22 1
2023-07-17 03:00:00,64 1
2023-07-17 03:00:00,67 1
2023-07-17 03:00:00,93 1
2023-07-17 03:00:00,57 1
2023-07-17 03:00:00,68 1
2023-07-17 03:00:00,67 1
2023-07-17 03:00:00,11 1
2023-07-17 03:00:00,6 1
2023-07-17 03:00:00,9 1
2023-07-17 03:00:00,9 1
2023-07-17 03:00:00,14 1
2023-07-17 03:00:00,6 1
2023-07-17 03:00:00,52 1
2023-07-17 03:00:00,52 1
2023-07-17 03:00:00,52 1
2023-07-17 03:00:00,94 1
2023-07-17 03:00:00,94 1
2023-07-17 03:00:00,76 1
2023-07-17 03:00:00,92 1
2023-07-18 03:00:00,66 1
2023-07-18 03:00:00,12 1
2023-07-18 03:00:00,12 1
2023-07-18 03:00:00,52 1
2023-07-18 03:00:00,76 1
2023-07-18 03:00:00,4 1
2023-07-18 03:00:00,4 1
2023-07-18 03:00:00,5 1
2023-07-18 03:00:00,27 1
2023-07-18 03:00:00,40 1
2023-07-18 03:00:00,63 1
2023-07-18 03:00:00,95 1
2023-07-18 03:00:00,19 1
2023-07-18 03:00:00,7 1
2023-07-18 03:00:00,60 1
2023-07-18 03:00:00,55 1
2023-07-18 03:00:00,40 1
2023-07-18 03:00:00,56 1
2023-07-18 03:00:00,34 1
2023-07-18 03:00:00,11 1
2023-07-18 03:00:00,96 1
2023-07-18 03:00:00,90 1
2023-07-18 03:00:00,61 1
2023-07-18 03:00:00,36 1
2023-07-18 03:00:00,12 1
2023-07-18 03:00:00,91 1
2023-07-18 03:00:00,8 1
2023-07-18 03:00:00,10 1
2023-07-18 03:00:00,14 1
2023-07-18 03:00:00,14 1
2023-07-18 03:00:00,85 1
2023-07-18 03:00:00,52 1
2023-07-18 03:00:00,52 1
2023-07-18 03:00:00,52 1
2023-07-18 03:00:00,52 1
2023-07-18 03:00:00,9 1
2023-07-19 03:00:00,11 1
2023-07-19 03:00:00,12 1
2023-07-19 03:00:00,12 1
2023-07-19 03:00:00,52 1
2023-07-19 03:00:00,76 1
2023-07-19 03:00:00,76 1
2023-07-19 03:00:00,30 1
2023-07-19 03:00:00,5 1
2023-07-19 03:00:00,72 1
2023-07-19 03:00:00,40 1
2023-07-19 03:00:00,50 1
2023-07-19 03:00:00,79 1
2023-07-19 03:00:00,74 1
2023-07-19 03:00:00,21 1
2023-07-19 03:00:00,20 1
2023-07-19 03:00:00,22 1
2023-07-19 03:00:00,65 1
2023-07-19 03:00:00,25 1
2023-07-19 03:00:00,26 1
2023-07-19 03:00:00,43 1
2023-07-19 03:00:00,49 1
2023-07-19 03:00:00,21 1
2023-07-19 03:00:00,68 1
2023-07-19 03:00:00,11 1
2023-07-19 03:00:00,88 1
2023-07-19 03:00:00,61 1
2023-07-19 03:00:00,64 1
2023-07-19 03:00:00,36 1
2023-07-19 03:00:00,12 1
2023-07-19 03:00:00,10 1
2023-07-19 03:00:00,14 1
2023-07-19 03:00:00,9 1
2023-07-19 03:00:00,10 1
2023-07-19 03:00:00,10 1
2023-07-19 03:00:00,10 1
2023-07-19 03:00:00,52 1
2023-07-19 03:00:00,94 1
2023-07-19 03:00:00,94 1
2023-07-19 03:00:00,76 1
2023-07-19 03:00:00,76 1
2023-07-19 03:00:00,87 1
