"Time","tlm_mb_solarpanel_0_volt_pos"
2023-06-30 03:00:00,5.1 V
2023-06-30 03:00:00,5.6 V
2023-06-30 03:00:00,5.3 V
2023-06-30 03:00:00,2.6 V
2023-06-30 03:00:00,5.1 V
2023-06-30 03:00:00,5.1 V
2023-06-30 03:00:00,4.8 V
2023-07-01 03:00:00,5.7 V
2023-07-01 03:00:00,2.0 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,4.9 V
2023-07-01 03:00:00,5.0 V
2023-07-01 03:00:00,5.0 V
2023-07-01 03:00:00,5.0 V
2023-07-01 03:00:00,5.0 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,4.9 V
2023-07-01 03:00:00,4.8 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.0 V
2023-07-01 03:00:00,4.7 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,5.2 V
